,word,width,height,left_distance,bottom_distance,right_distance,top_distance,fontname,fontsize,label
0,ALTA,130.3924,45.025,54.05,102.16705,184.4424,57.14205,BCDFEE+BookAntiqua,45.025,1
1,PARKS,154.931025,45.025,199.4,102.16705,354.331025,57.14205,BCDFEE+BookAntiqua,45.025,1
2,ATTORNEY,96.6361,16.225,54.05,120.50725,150.6861,104.28225,BCDEEE+ArialMT,16.225,0
3,CONTACT,83.0346,13.8,64.875,181.377,147.9096,167.577,BCDGEE+BookAntiqua-Bold,13.8,1
4,4567,21.8586,10.2,64.875,202.092,86.7336,191.892,BCDEEE+ArialMT,10.2,0
5,Main,21.8586,10.2,90.0486,202.092,111.9072,191.892,BCDEEE+ArialMT,10.2,0
6,Street,26.8056,10.2,114.6204,202.092,141.426,191.892,BCDEEE+ArialMT,10.2,0
7,"Brooklyn,",42.3708,10.2,64.875,215.922,107.2458,205.722,BCDEEE+ArialMT,10.2,0
8,New,19.9614,10.2,110.3874,215.922,130.3488,205.722,BCDEEE+ArialMT,10.2,0
9,York,20.6856,10.2,133.1742,215.922,153.8598,205.722,BCDEEE+ArialMT,10.2,0
10,48127,27.2544,10.2,157.134,215.922,184.3884,205.722,BCDEEE+ArialMT,10.2,0
11,718.555.0100,60.2106,10.2,64.875,229.722,125.0856,219.522,BCDEEE+ArialMT,10.2,0
12,alta@example.com,86.5216,10.2,64.875,243.512,151.3966,233.312,BCDEEE+ArialMT,10.2,0
13,www.interestingsite.com,110.3458,10.2,64.875,257.342,175.2208,247.142,BCDEEE+ArialMT,10.2,0
14,PROFILE,70.794,13.8,240.85,181.377,311.644,167.577,BCDGEE+BookAntiqua-Bold,13.8,1
15,"Analytical,",46.5426,10.2,240.85,202.092,287.3926,191.892,BCDEEE+ArialMT,10.2,0
16,"energetic,",44.7576,10.2,290.5342,202.092,335.2918,191.892,BCDEEE+ArialMT,10.2,0
17,and,16.4628,10.2,338.4334,202.092,354.8962,191.892,BCDEEE+ArialMT,10.2,0
18,detail-oriented,64.1908,10.2,357.6094,202.092,421.8002,191.892,BCDEEE+ArialMT,10.2,0
19,attorney,36.2508,10.2,424.5134,202.092,460.7642,191.892,BCDEEE+ArialMT,10.2,0
20,with,18.2478,10.2,464.0384,202.092,482.2862,191.892,BCDEEE+ArialMT,10.2,0
21,broad,25.449,10.2,484.9994,202.092,510.4484,191.892,BCDEEE+ArialMT,10.2,0
22,and,16.4628,10.2,513.1616,202.092,529.6244,191.892,BCDEEE+ArialMT,10.2,0
23,deep,21.8586,10.2,240.85,215.922,262.7086,205.722,BCDEEE+ArialMT,10.2,0
24,experience,49.3986,10.2,266.0236,215.922,315.4222,205.722,BCDEEE+ArialMT,10.2,0
25,in,8.058,10.2,318.1354,215.922,326.1934,205.722,BCDEEE+ArialMT,10.2,0
26,business,39.8412,10.2,328.9066,215.922,368.7478,205.722,BCDEEE+ArialMT,10.2,0
27,and,16.4628,10.2,372.022,215.922,388.4848,205.722,BCDEEE+ArialMT,10.2,0
28,real,16.6464,10.2,391.198,215.922,407.8444,205.722,BCDEEE+ArialMT,10.2,0
29,estate,27.8256,10.2,410.9554,215.922,438.781,205.722,BCDEEE+ArialMT,10.2,0
30,"matters,",36.9852,10.2,441.4942,215.922,478.4794,205.722,BCDEEE+ArialMT,10.2,0
31,including,39.8004,10.2,481.621,215.922,521.4214,205.722,BCDEEE+ArialMT,10.2,0
32,business,39.8412,10.2,240.85,229.722,280.6912,219.522,BCDEEE+ArialMT,10.2,0
33,"formation,",44.778,10.2,282.772,229.722,327.55,219.522,BCDEEE+ArialMT,10.2,0
34,real,16.6464,10.2,330.1,229.722,346.7464,219.522,BCDEEE+ArialMT,10.2,0
35,estate,27.8256,10.2,349.2658,229.722,377.0914,219.522,BCDEEE+ArialMT,10.2,0
36,"transactions,",57.9258,10.2,379.8046,229.722,437.7304,219.522,BCDEEE+ArialMT,10.2,0
37,distressed,46.9812,10.2,439.6786,229.722,486.6598,219.522,BCDEEE+ArialMT,10.2,0
38,"property,",39.9738,10.2,489.373,229.722,529.3468,219.522,BCDEEE+ArialMT,10.2,0
39,due,16.4628,10.2,532.4884,229.722,548.9512,219.522,BCDEEE+ArialMT,10.2,0
40,"diligence,",42.9522,10.2,240.85,243.512,283.8022,233.312,BCDEEE+ArialMT,10.2,0
41,"permitting,",47.7564,10.2,286.9438,243.512,334.7002,233.312,BCDEEE+ArialMT,10.2,0
42,contract,36.3732,10.2,337.8418,243.512,374.215,233.312,BCDEEE+ArialMT,10.2,0
43,and,16.4628,10.2,377.3566,243.512,393.8194,233.312,BCDEEE+ArialMT,10.2,0
44,lease,24.2352,10.2,396.5326,243.512,420.7678,233.312,BCDEEE+ArialMT,10.2,0
45,"negotiations,",57.3342,10.2,423.481,243.512,480.8152,233.312,BCDEEE+ArialMT,10.2,0
46,and,16.4716,10.2,484.68,243.512,501.1516,233.312,BCDEEE+ArialMT,10.2,0
47,landlord/tenant.,68.7276,10.2,240.85,257.342,309.5776,247.142,BCDEEE+ArialMT,10.2,0
48,EDUCATION,103.3068,13.8,64.875,300.277,168.1818,286.477,BCDGEE+BookAntiqua-Bold,13.8,2
49,JURIS,29.325,10.2,64.875,322.3264,94.2,312.1264,BCDFEE+BookAntiqua,10.2,0
50,DOCTOR,46.3794,10.2,97.821,322.3264,144.2004,312.1264,BCDFEE+BookAntiqua,10.2,0
51,•,6.1812,10.2,147.75,322.3264,153.9312,312.1264,BCDHEE+BookAntiqua,10.2,0
52,JUNE,27.8052,10.2,157.35,322.3264,185.1552,312.1264,BCDFEE+BookAntiqua,10.2,0
53,20XX,25.9692,10.2,188.5008,322.3264,214.47,312.1264,BCDFEE+BookAntiqua,10.2,0
54,Jasper,30.3552,10.2,64.875,341.992,95.2302,331.792,BCDEEE+ArialMT,10.2,0
55,University,45.2166,10.2,98.4126,341.992,143.6292,331.792,BCDEEE+ArialMT,10.2,0
56,"Manhattan,",49.5924,10.2,64.875,355.812,114.4674,345.612,BCDEEE+ArialMT,10.2,0
57,"NYC,",23.8374,10.2,117.609,355.812,141.4464,345.612,BCDEEE+ArialMT,10.2,0
58,New,19.9614,10.2,144.588,355.812,164.5494,345.612,BCDEEE+ArialMT,10.2,0
59,York,20.6856,10.2,167.3748,355.812,188.0604,345.612,BCDEEE+ArialMT,10.2,0
60,Real,20.2572,10.2,64.875,375.622,85.1322,365.422,BCDEEE+ArialMT,10.2,0
61,Estate,29.0292,10.2,88.2432,375.622,117.2724,365.422,BCDEEE+ArialMT,10.2,0
