,word,width,height,left_distance,bottom_distance,right_distance,top_distance,fontname,fontsize,label
0,Senior,30.15253999,10.14893603,232.7912201,48.20744612,262.9437601,38.05851009,AAAAAA+Rubik-Regular,10.14893603,0
1,Business,42.56472345,10.14893603,265.2069823,48.20744612,307.7717057,38.05851009,AAAAAA+Rubik-Regular,10.14893603,0
2,Analyst,35.42999053,10.14893603,309.9943347,48.20744612,345.4243253,38.05851009,AAAAAA+Rubik-Regular,10.14893603,0
3,|,2.344404222,10.14893603,347.9209714,48.20744612,350.2653756,38.05851009,AAAAAA+Rubik-Regular,10.14893603,0
4,Data,22.03337208,10.14893603,352.7620259,48.20744612,374.795398,38.05851009,AAAAAA+Rubik-Regular,10.14893603,0
5,Analytics,43.62021381,10.14893603,377.0180252,48.20744612,420.638239,38.05851009,AAAAAA+Rubik-Regular,10.14893603,0
6,Expert,31.04562924,10.14893603,423.1348937,48.20744612,454.1805229,38.05851009,AAAAAA+Rubik-Regular,10.14893603,0
7,Email,20.81295047,8.24601052,244.8430816,67.39527829,265.6560321,59.14926777,AAAAAA+Rubik-Regular,8.24601052,0
8,linkedin.com,48.00006454,8.24601052,285.3198929,67.39527829,333.3199574,59.14926777,AAAAAA+Rubik-Regular,8.24601052,0
9,San,14.62843662,8.24601052,352.9926811,67.39527829,367.6211177,59.14926777,AAAAAA+Rubik-Regular,8.24601052,0
10,"Francisco,",39.16033346,8.24601052,369.6496382,67.39527829,408.8099717,59.14926777,AAAAAA+Rubik-Regular,8.24601052,0
11,CA,10.93421052,8.24601052,410.8384884,67.39527829,421.7726989,59.14926777,AAAAAA+Rubik-Regular,8.24601052,0
12,ABIGAIL,66.97559188,17.76063804,38.6928186,57.08776514,105.6684105,39.3271271,AAAAAA+Rubik-Regular,17.76063804,PERSONAL
13,HALL,44.43725644,17.76063804,109.5758162,57.08776514,154.0130726,39.3271271,AAAAAA+Rubik-Regular,17.76063804,PERSONAL
14,SUMMARY,49.21226335,10.14893603,227.7167521,112.2726048,276.9290154,102.1236688,AAAAAA+Rubik-Regular,10.14893603,PERSONAL
15,Seasoned,35.71150996,7.611702019,227.7167521,135.6771469,263.428262,128.0654449,BAAAAA+Inter-Regular,7.611702019,0
16,IT,6.898057534,7.611702019,265.5688718,135.6771469,272.4669293,128.0654449,BAAAAA+Inter-Regular,7.611702019,0
17,business,31.77598967,7.611702019,274.6075356,135.6771469,306.3835253,128.0654449,BAAAAA+Inter-Regular,7.611702019,0
18,analyst,25.82947129,7.611702019,308.524157,135.6771469,334.3536283,128.0654449,BAAAAA+Inter-Regular,7.611702019,0
19,with,15.34206434,7.611702019,336.4942911,135.6771469,351.8363555,128.0654449,BAAAAA+Inter-Regular,7.611702019,0
20,over,15.74205906,7.611702019,353.976974,135.6771469,369.719033,128.0654449,BAAAAA+Inter-Regular,7.611702019,0
21,12,8.141399728,7.611702019,371.8596905,135.6771469,380.0010902,128.0654449,BAAAAA+Inter-Regular,7.611702019,0
22,years,19.62351729,7.611702019,382.1417097,135.6771469,401.765227,128.0654449,BAAAAA+Inter-Regular,7.611702019,0
23,in,6.260152084,7.611702019,403.9058684,135.6771469,410.1660205,128.0654449,BAAAAA+Inter-Regular,7.611702019,0
24,business,31.77598973,7.611702019,412.3066426,135.6771469,444.0826323,128.0654449,BAAAAA+Inter-Regular,7.611702019,0
25,"analytics,",34.0139506,7.611702019,446.2232738,135.6771469,480.2372244,128.0654449,BAAAAA+Inter-Regular,7.611702019,0
26,specializing,42.02557093,7.611702019,482.3778905,135.6771469,524.4034614,128.0654449,BAAAAA+Inter-Regular,7.611702019,0
27,in,6.260132738,7.611702019,526.5440783,135.6771469,532.8042111,128.0654449,BAAAAA+Inter-Regular,7.611702019,0
28,data,16.07725727,7.611702019,534.9448332,135.6771469,551.0220904,128.0654449,BAAAAA+Inter-Regular,7.611702019,0
29,visualization,44.32849567,7.611702019,227.7167521,145.1917745,272.0452477,137.5800724,BAAAAA+Inter-Regular,7.611702019,0
30,and,13.47162949,7.611702019,274.1858698,145.1917745,287.6574993,137.5800724,BAAAAA+Inter-Regular,7.611702019,0
31,BI,6.962855243,7.611702019,289.7981091,145.1917745,296.7609644,137.5800724,BAAAAA+Inter-Regular,7.611702019,0
32,"software,",33.77612361,7.611702019,298.9016498,145.1917745,332.6777734,137.5800724,BAAAAA+Inter-Regular,7.611702019,0
33,including,32.35983818,7.611702019,334.8184492,145.1917745,367.1782874,137.5800724,BAAAAA+Inter-Regular,7.611702019,0
34,Qlikview,30.2083422,7.611702019,369.3189043,145.1917745,399.5272465,137.5800724,BAAAAA+Inter-Regular,7.611702019,0
35,and,13.47162949,7.611702019,401.6678248,145.1917745,415.1394543,137.5800724,BAAAAA+Inter-Regular,7.611702019,0
36,SAS.,16.95295968,7.611702019,417.2800641,145.1917745,434.2330237,137.5800724,BAAAAA+Inter-Regular,7.611702019,0
37,Demonstrated,51.26970304,7.611702019,436.3737023,145.1917745,487.6434053,137.5800724,BAAAAA+Inter-Regular,7.611702019,0
38,success,29.28929838,7.611702019,489.7840151,145.1917745,519.0733135,137.5800724,BAAAAA+Inter-Regular,7.611702019,0
39,in,6.260152084,7.611702019,521.213955,145.1917745,527.474107,137.5800724,BAAAAA+Inter-Regular,7.611702019,0
40,leading,26.15386281,7.611702019,529.6147291,145.1917745,555.7685919,137.5800724,BAAAAA+Inter-Regular,7.611702019,0
41,major,20.08839242,7.611702019,227.7167521,154.706402,247.8051445,147.0947,BAAAAA+Inter-Regular,7.611702019,0
42,analytics,31.88411136,7.611702019,249.9458019,154.706402,281.8299133,147.0947,BAAAAA+Inter-Regular,7.611702019,0
43,dashboard,38.47931175,7.611702019,283.970545,154.706402,322.4498568,147.0947,BAAAAA+Inter-Regular,7.611702019,0
44,projects,29.04059242,7.611702019,324.5904665,154.706402,353.631059,147.0947,BAAAAA+Inter-Regular,7.611702019,0
45,that,14.41220872,7.611702019,355.7716907,154.706402,370.1838994,147.0947,BAAAAA+Inter-Regular,7.611702019,0
46,enhanced,35.53854057,7.611702019,372.3245622,154.706402,407.8631028,147.0947,BAAAAA+Inter-Regular,7.611702019,0
47,reporting,33.07341596,7.611702019,410.0037126,154.706402,443.0771285,147.0947,BAAAAA+Inter-Regular,7.611702019,0
48,efficiency,35.16009941,7.611702019,445.2177455,154.706402,480.3778449,147.0947,BAAAAA+Inter-Regular,7.611702019,0
49,by,8.811731662,7.611702019,482.5184653,154.706402,491.330197,147.0947,BAAAAA+Inter-Regular,7.611702019,0
50,30%.,17.88278072,7.611702019,493.4708175,154.706402,511.3535982,147.0947,BAAAAA+Inter-Regular,7.611702019,0
51,Expertise,33.80860888,7.611702019,513.4942768,154.706402,547.3028856,147.0947,BAAAAA+Inter-Regular,7.611702019,0
52,extends,28.74869005,7.611702019,227.7167521,164.2210295,256.4654421,156.6093275,BAAAAA+Inter-Regular,7.611702019,0
53,to,7.265648457,7.611702019,258.6060739,164.2210295,265.8717223,156.6093275,BAAAAA+Inter-Regular,7.611702019,0
54,Agile,17.82876944,7.611702019,268.0123377,164.2210295,285.8411071,156.6093275,BAAAAA+Inter-Regular,7.611702019,0
55,and,13.47162949,7.611702019,287.9817313,164.2210295,301.4533607,156.6093275,BAAAAA+Inter-Regular,7.611702019,0
56,Scrum,22.97525129,7.611702019,303.5939705,164.2210295,326.5692218,156.6093275,BAAAAA+Inter-Regular,7.611702019,0
57,"methodologies,",55.54027264,7.611702019,328.7097842,164.2210295,384.2500569,156.6093275,BAAAAA+Inter-Regular,7.611702019,0
58,"JIRA,",18.28280741,7.611702019,386.3907327,164.2210295,404.6735401,156.6093275,BAAAAA+Inter-Regular,7.611702019,0
59,"SQL,",17.06110349,7.611702019,406.8142255,164.2210295,423.875329,156.6093275,BAAAAA+Inter-Regular,7.611702019,0
60,"ETL,",15.85013326,7.611702019,426.0159951,164.2210295,441.8661284,156.6093275,BAAAAA+Inter-Regular,7.611702019,0
61,and,13.47162949,7.611702019,444.0067945,164.2210295,457.478424,156.6093275,BAAAAA+Inter-Regular,7.611702019,0
62,Master,25.02938042,7.611702019,459.6190337,164.2210295,484.6484142,156.6093275,BAAAAA+Inter-Regular,7.611702019,0
63,Data,16.82327828,7.611702019,486.7890716,164.2210295,503.6123499,156.6093275,BAAAAA+Inter-Regular,7.611702019,0
64,Management.,49.24779532,7.611702019,505.7529755,164.2210295,555.0007708,156.6093275,BAAAAA+Inter-Regular,7.611702019,0
65,Proven,24.8996911,7.611702019,227.7167521,173.735657,252.6164432,166.123955,BAAAAA+Inter-Regular,7.611702019,0
